unit,indic,geo,TIME_PERIOD,OBS_VALUE
HICP2015,CP-HI00,AL,2015-12,100.0
HICP2015,CP-HI00,AL,2016-01,101.0
HICP2015,CP-HI00,AL,2016-02,102.28
HICP2015,CP-HI00,AL,2016-03,102.8
HICP2015,CP-HI00,AL,2016-04,102.31
HICP2015,CP-HI00,AL,2016-05,100.9
HICP2015,CP-HI00,AL,2016-06,100.22
HICP2015,CP-HI00,AL,2016-07,100.31
HICP2015,CP-HI00,AL,2016-08,101.3
HICP2015,CP-HI00,AL,2016-09,101.67
HICP2015,CP-HI00,AL,2016-10,101.38
HICP2015,CP-HI00,AL,2016-11,101.44
HICP2015,CP-HI00,AL,2016-12,102.49
HICP2015,CP-HI00,AL,2017-01,105.0
HICP2015,CP-HI00,AL,2017-02,106.09
HICP2015,CP-HI00,AL,2017-03,106.71
HICP2015,CP-HI00,AL,2017-04,106.01
HICP2015,CP-HI00,AL,2017-05,104.32
HICP2015,CP-HI00,AL,2017-06,103.96
HICP2015,CP-HI00,AL,2017-07,103.27
HICP2015,CP-HI00,AL,2017-08,103.88
HICP2015,CP-HI00,AL,2017-09,104.37
HICP2015,CP-HI00,AL,2017-10,104.61
HICP2015,CP-HI00,AL,2017-11,103.91
HICP2015,CP-HI00,AL,2017-12,104.96
HICP2015,CP-HI00,AL,2018-01,106.79
HICP2015,CP-HI00,AL,2018-02,107.81
HICP2015,CP-HI00,AL,2018-03,108.16
HICP2015,CP-HI00,AL,2018-04,107.78
HICP2015,CP-HI00,AL,2018-05,106.22
HICP2015,CP-HI00,AL,2018-06,106.14
HICP2015,CP-HI00,AL,2018-07,105.66
HICP2015,CP-HI00,AL,2018-08,106.02
HICP2015,CP-HI00,AL,2018-09,106.34
HICP2015,CP-HI00,AL,2018-10,105.91
HICP2015,CP-HI00,AL,2018-11,105.41
HICP2015,CP-HI00,AL,2018-12,106.87
HICP2015,CP-HI00,AL,2019-01,109.36
HICP2015,CP-HI00,AL,2019-02,110.25
HICP2015,CP-HI00,AL,2019-03,109.75
HICP2015,CP-HI00,AL,2019-04,109.47
HICP2015,CP-HI00,AL,2019-05,107.98
HICP2015,CP-HI00,AL,2019-06,107.76
HICP2015,CP-HI00,AL,2019-07,107.28
HICP2015,CP-HI00,AL,2019-08,107.61
HICP2015,CP-HI00,AL,2019-09,107.84
HICP2015,CP-HI00,AL,2019-10,107.59
HICP2015,CP-HI00,AL,2019-11,107.35
HICP2015,CP-HI00,AL,2019-12,108.42
HICP2015,CP-HI00,AL,2020-01,111.11
HICP2015,CP-HI00,AL,2020-02,111.77
HICP2015,CP-HI00,AL,2020-03,112.63
HICP2015,CP-HI00,AL,2020-04,112.0
HICP2015,CP-HI00,AL,2020-05,110.98
HICP2015,CP-HI00,AL,2020-06,110.17
