unit,s_adj,nace_r2,indic,geo,TIME_PERIOD,OBS_VALUE
I20,SCA,B,LM-LCI-TOT,AT,2021-Q1,99.5
I20,SCA,B,LM-LCI-TOT,AT,2021-Q2,99.0
I20,SCA,B,LM-LCI-TOT,AT,2021-Q3,101.8
I20,SCA,B,LM-LCI-TOT,AT,2021-Q4,103.5
I20,SCA,B,LM-LCI-TOT,AT,2022-Q1,99.7
I20,SCA,B,LM-LCI-TOT,AT,2022-Q2,99.0
I20,SCA,B,LM-LCI-TOT,AT,2022-Q3,100.8
I20,SCA,B,LM-LCI-TOT,AT,2022-Q4,102.4
I20,SCA,B,LM-LCI-TOT,AT,2023-Q1,105.2
I20,SCA,B,LM-LCI-TOT,AT,2023-Q2,109.7
I20,SCA,B,LM-LCI-TOT,AT,2023-Q3,110.1
I20,SCA,B,LM-LCI-TOT,AT,2023-Q4,110.5
I20,SCA,B,LM-LCI-TOT,AT,2024-Q1,113.7
I20,SCA,B,LM-LCI-TOT,BE,2021-Q1,100.4
I20,SCA,B,LM-LCI-TOT,BE,2021-Q2,100.8
I20,SCA,B,LM-LCI-TOT,BE,2021-Q3,101.5
I20,SCA,B,LM-LCI-TOT,BE,2021-Q4,102.8
I20,SCA,B,LM-LCI-TOT,BE,2022-Q1,105.9
I20,SCA,B,LM-LCI-TOT,BE,2022-Q2,107.5
I20,SCA,B,LM-LCI-TOT,BE,2022-Q3,109.2
I20,SCA,B,LM-LCI-TOT,BE,2022-Q4,111.2
I20,SCA,B,LM-LCI-TOT,BE,2023-Q1,115.8
I20,SCA,B,LM-LCI-TOT,BE,2023-Q2,116.4
I20,SCA,B,LM-LCI-TOT,BE,2023-Q3,117.0
I20,SCA,B,LM-LCI-TOT,BE,2023-Q4,117.5
I20,SCA,B,LM-LCI-TOT,BE,2024-Q1,118.5
I20,SCA,B,LM-LCI-TOT,BG,2021-Q1,102.6
I20,SCA,B,LM-LCI-TOT,BG,2021-Q2,105.8
I20,SCA,B,LM-LCI-TOT,BG,2021-Q3,107.2
I20,SCA,B,LM-LCI-TOT,BG,2021-Q4,110.0
I20,SCA,B,LM-LCI-TOT,BG,2022-Q1,114.9
I20,SCA,B,LM-LCI-TOT,BG,2022-Q2,123.5
I20,SCA,B,LM-LCI-TOT,BG,2022-Q3,127.2
