DATAFLOW,LAST UPDATE,freq,coicop,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,AL,2023-07,114.23,d
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,AL,2023-08,115.98,d
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,AL,2023-09,117.13,d
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,AL,2023-10,117.32,d
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,AL,2023-11,117.09,d
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,AL,2023-12,115.45,d
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,AL,2024-01,115.23,d
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,AL,2024-02,115.21,d
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,AL,2024-03,115.72,d
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,AL,2024-04,115.75,d
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,AL,2024-05,114.69,d
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,AT,2023-07,128.76,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,AT,2023-08,131.16,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,AT,2023-09,132.88,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,AT,2023-10,132.22,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,AT,2023-11,129.50,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,AT,2023-12,128.20,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,AT,2024-01,128.15,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,AT,2024-02,129.75,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,AT,2024-03,131.16,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,AT,2024-04,133.11,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,AT,2024-05,133.09,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,AT,2024-06,131.97,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,BE,2023-07,133.80,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,BE,2023-08,136.23,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,BE,2023-09,136.69,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,BE,2023-10,135.47,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,BE,2023-11,134.44,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,BE,2023-12,133.27,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,BE,2024-01,132.31,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,BE,2024-02,134.27,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,BE,2024-03,135.19,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,BE,2024-04,136.05,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,BE,2024-05,135.31,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,BE,2024-06,134.76,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,BG,2023-07,116.68,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,BG,2023-08,120.49,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,BG,2023-09,122.63,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,BG,2023-10,121.59,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,BG,2023-11,121.64,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,BG,2023-12,120.57,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,BG,2024-01,117.77,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,BG,2024-02,118.52,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,BG,2024-03,119.75,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,BG,2024-04,120.90,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,BG,2024-05,120.58,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,BG,2024-06,120.41,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CH,2023-07,110.25,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CH,2023-08,109.68,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CH,2023-09,109.93,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CH,2023-10,109.57,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CH,2023-11,107.30,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CH,2023-12,107.43,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CH,2024-01,106.49,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CH,2024-02,106.41,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CH,2024-03,106.57,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CH,2024-04,109.13,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CH,2024-05,110.92,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CH,2024-06,109.34,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CY,2023-07,116.48,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CY,2023-08,120.58,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CY,2023-09,117.50,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CY,2023-10,116.96,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CY,2023-11,111.66,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CY,2023-12,108.25,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CY,2024-01,105.30,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CY,2024-02,106.15,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CY,2024-03,108.41,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CY,2024-04,113.31,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CY,2024-05,115.60,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CY,2024-06,113.87,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CZ,2023-07,133.2,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CZ,2023-08,135.5,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CZ,2023-09,136.8,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CZ,2023-10,136.3,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CZ,2023-11,134.8,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CZ,2023-12,133.3,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CZ,2024-01,133.6,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CZ,2024-02,135.8,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CZ,2024-03,138.4,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,CZ,2024-04,139.7,
